String ID,Dev Notes / Context,Character Limit,Text
New Game,Main Menu,15,新遊戲
Resume Game,Main Menu,15,繼續遊戲
Load Game,Main Menu,15,載入遊戲
Settings,Main Menu,15,設定
Tutorial,Main Menu,15,教學
Patch Notes,Main Menu,15,更新日誌
Credits,Main Menu,15,製作名單
Difficulty Settings,Difficulty Menu,24,難度設定
Presents,Difficulty Menu,32,預設
Trading,Difficulty Menu,32,交易
Loot,Difficulty Menu,32,搜刮
Progression,Difficulty Menu,32,遊戲節奏
Enemies,Difficulty Menu,32,敵人
Hardcore,Difficulty Menu,32,硬核
Rookie,Difficulty Menu,32,新手
Survivor,Difficulty Menu/Loadout name,32,倖存者
Hunter,Difficulty Menu,32,獵人
Sell Multiplier,Difficulty Menu,32,商品賣出價格
Items Amount,Difficulty Menu,32,物品數量
Amount Of Single Item,Difficulty Menu,32,單項物品數量
Minimum Weapons Durability,Difficulty Menu,32,掉落武器最低耐久
Maximum Weapons Durability,Difficulty Menu,32,掉落武器最大耐久
NPCs Drop Armor,Difficulty Menu,32,NPC 掉落護甲
NPC Ammo Amount,Difficulty Menu,32,NPC 掉落彈藥數量
Character Health,Difficulty Menu,32,角色生命值
Minimum Transportable Weight,Difficulty Menu,32,負重上限
Hunger/Thirst Decay Rate,Difficulty Menu,32,飢餓/口渴消耗
Reputation Multiplier,Difficulty Menu,32,聲望倍率
Skill Experience Multiplier,Difficulty Menu,32,技能經驗值倍率
Reputation From Quests,Difficulty Menu,32,任務聲望報酬
Roubles From Quests,Difficulty Menu,32,任務盧布報酬
Items From Quests,Difficulty Menu,32,任務物品報酬
Service Price,Difficulty Menu,32,服務費
Human Health,Difficulty Menu,32,人類生命值
Human Damage Dealt,"Difficulty Menu, damage dealt to humans",32,人類傷害
Mutant Health,Difficulty Menu,32,變異體生命值
Mutant Damage Dealt,"Difficulty Menu, damage dealt to mutants",32,變異體傷害
Lose Equipment,Difficulty Menu,32,失去裝備
Lose Ammo,Difficulty Menu,32,失去彈藥
Lose Medication,Difficulty Menu,32,失去醫療用品
Lose Consumable,Difficulty Menu,32,失去消耗品
Lose Keys,Difficulty Menu,32,失去鑰匙
Lose Other Item,Difficulty Menu,32,失去其他物品
Perma Death,Difficulty Menu,32,永久死亡
Traders Money,Difficulty Menu,32,商人資金
Price: Weapons,Difficulty Menu,32,武器價格
Price: Armors,Difficulty Menu,32,護甲價格
Price: Backpacks,Difficulty Menu,32,背包價格
Price: Ammo,Difficulty Menu,32,彈藥價格
Price: Medications,Difficulty Menu,32,醫療用品價格
Buy for,Trading menu,32,購買
Next,"General Usage, go forward a step or menu",16,繼續
